miR,mean deltact,median deltact,SD deltact,Case mean,Case median,Case SD,Control mean,Control median,Control SD,FC,log10FC,log2FC,reversed_log10FC,reversed_log2FC,p-value,p-value Bonferroni,p-value Holm,p-value BH
hsa.miR.20b.5p,8.3369287924977,8.378956894,1.20645682455366,7.75882173845143,7.8241306565,1.04954640281586,9.0047092179637,9.034087682,1.0172046030233,0.421648439578538,-0.375049502555387,-1.24588747951227,-0.375049502555387,-1.24588747951227,1.10781577275189e-45,2.10484996822858e-44,2.10484996822858e-44,2.10484996822858e-44
hsa.miR.19b.3p,9.96411390197397,9.927125266,0.906950173801504,9.53625611589143,9.545557812,0.775530020684136,10.4583390674158,10.49526453,0.789670799607788,0.527746513780598,-0.277574626899225,-0.922082951524414,-0.277574626899225,-0.922082951524414,8.93363154793008e-44,1.69738999410672e-42,1.60805367862741e-42,8.48694997053358e-43
hsa.let.7b.5p,15.1504563919908,15.12050941,0.574800118545083,14.8935688517429,14.865782835,0.492830751143147,15.4471911744554,15.41816002,0.517492835124468,0.681307350666589,-0.166656925405654,-0.553622322712588,-0.166656925405654,-0.553622322712588,1.15679155784572e-38,2.19790395990686e-37,1.96654564833772e-37,7.32634653302288e-38
hsa.miR.30d.5p,12.2435697475574,12.2092208,0.632495082595988,12.0018832563286,11.977631275,0.58532421490384,12.5227455625083,12.47126223,0.5673330975635,0.696955135019565,-0.1567951777708,-0.520862306179678,-0.1567951777708,-0.520862306179678,4.3966709669148e-28,8.35367483713811e-27,7.03467354706367e-27,2.08841870928453e-27
hsa.miR.320b,9.29774591247626,9.280718006,0.862440735469819,9.62736116634857,9.5955734705,0.781556955981551,8.91700221988449,8.882348052,0.79282650277039,1.63621116027954,0.213839350573953,0.710358946464083,0.213839350573953,0.710358946464083,6.58046059646475e-28,1.2502875133283e-26,9.87069089469713e-27,2.50057502665661e-27
hsa.miR.139.3p,7.64075282692649,7.722841943,0.901822447123172,7.97016717849429,8.088912552,0.808287978560459,7.26024119970297,7.340514171,0.854280373948967,1.63572019009823,0.213709014317297,0.709925978791316,0.213709014317297,0.709925978791316,2.79012595478084e-25,5.3012393140836e-24,3.90617633669318e-24,8.83539885680599e-25
hsa.miR.17.5p,8.02442925165544,8.039193342,0.914439125499064,7.70590121921143,7.8055873945,0.89373338356563,8.39236592279538,8.369939079,0.792983065951604,0.621374652480076,-0.206646466743353,-0.686464703583951,-0.206646466743353,-0.686464703583951,1.5503590221797e-23,2.94568214214144e-22,2.01546672883362e-22,4.20811734591634e-23
hsa.miR.182.5p,9.13897778911639,9.107769604,0.925502042882798,8.81366416161143,8.806447057,0.834534851489696,9.51475260636634,9.518812148,0.883226628323141,0.615107961883043,-0.211048651484637,-0.701088444754907,-0.211048651484637,-0.701088444754907,2.18680306848315e-23,4.15492583011799e-22,2.62416368217979e-22,5.19365728764749e-23
hsa.miR.375.3p,7.88822615300153,8.037293069,1.70655387873245,8.43621118103429,8.547357138,1.55257030016778,7.2552401470231,7.443337357,1.65888833631204,2.26729330307988,0.355507705247674,1.18097103401118,0.355507705247674,1.18097103401118,1.6071631491469e-19,3.05360998337911e-18,1.76787946406159e-18,3.39289998153234e-19
hsa.miR.421,6.03462751550995,6.12076039,0.841003304620312,5.78550659947714,5.849224033,0.800874694685229,6.32239094987129,6.397643238,0.794204894421315,0.689257826695833,-0.161618293671209,-0.536884350394145,-0.161618293671209,-0.536884350394145,7.10733497114334e-17,1.35039364451723e-15,7.10733497114334e-16,1.35039364451723e-16
hsa.miR.106b.5p,4.5452980629464,4.70948573,1.63372985294224,4.08641369221429,4.3987443935,1.58306274795393,5.07536251758746,5.156185904,1.52981034512909,0.503844752041738,-0.297703260613986,-0.988948825373173,-0.297703260613986,-0.988948825373173,2.64189102649617e-15,5.01959295034272e-14,2.37770192384655e-14,4.56326631849338e-15
hsa.miR.134.5p,7.2600244014778,7.38770417,1.63529367668037,7.69232956511429,7.771612651,1.53902783927429,6.76066200123762,6.923233239,1.60293347321066,1.90747951536026,0.280459882714063,0.931667563876662,0.280459882714063,0.931667563876662,1.58925132354545e-13,3.01957751473635e-12,1.27140105883636e-12,2.51631459561363e-13
hsa.miR.4433a.3p,7.68510700909954,7.872667577,1.54829214702528,8.04060377455429,8.264725786,1.48495796472334,7.2744671810165,7.454102103,1.52036327589682,1.70070933468881,0.230630095430697,0.766136593537785,0.230630095430697,0.766136593537785,1.71712666360814e-10,3.26254066085546e-09,1.2019886645257e-09,2.33038618632533e-10
hsa.miR.4433b.5p,7.68510700909954,7.872667577,1.54829214702528,8.04060377455429,8.264725786,1.48495796472334,7.2744671810165,7.454102103,1.52036327589682,1.70070933468881,0.230630095430697,0.766136593537785,0.230630095430697,0.766136593537785,1.71712666360814e-10,3.26254066085546e-09,1.2019886645257e-09,2.33038618632533e-10
hsa.miR.1273h.3p,4.28489246667228,4.532392682,1.79339498343765,4.64639691800286,5.057894926,1.72947809933263,3.86731306744554,4.057970786,1.77784225598983,1.7160407955841,0.234527608155146,0.779083850557313,0.234527608155146,0.779083850557313,2.35578459252903e-08,4.47599072580515e-07,1.17789229626451e-07,2.98399381720343e-08
hsa.miR.500a.3p,4.40544219617917,4.709910648,1.57602602101815,4.12889485592,4.304885012,1.5768702768182,4.72488631859076,5.057841329,1.51591233747648,0.661589634982298,-0.179411307423548,-0.595991462670759,-0.179411307423548,-0.595991462670759,1.11349160502993e-06,2.11563404955687e-05,4.45396642011972e-06,1.32227128097304e-06
hsa.miR.485.3p,7.85360683913476,8.11508186,1.80709459591814,8.16718361746,8.4255113625,1.73855567924976,7.49138943842904,7.84163261,1.81979240204175,1.59747591397849,0.203434318783432,0.675794179030956,0.203434318783432,0.675794179030956,1.70584568526382e-06,3.24110680200126e-05,5.11753705579146e-06,1.90653341294192e-06
hsa.miR.493.5p,3.51235222873048,4.06094575,2.31734496379483,3.86648160566571,4.4024733175,2.27422009293729,3.10329189233663,3.646442848,2.3029268162302,1.69723897440582,0.229742996094248,0.763189713329081,0.229742996094248,0.763189713329081,2.48212426734973e-05,0.00047160361079645,4.96424853469947e-05,2.62002005998028e-05
hsa.miR.1304.3p,3.89810961664319,4.037596535,1.60982190851211,4.12956800045143,4.369245984,1.53046329024199,3.63074844722772,3.886825165,1.65960659039632,1.41305689307915,0.150159647944041,0.498819553223705,0.150159647944041,0.498819553223705,8.00982758147533e-05,0.00152186724048031,8.00982758147533e-05,8.00982758147533e-05
